unit_id,apn,address,unit_label,bedrooms,first_seen_at
1007-lincoln-blvd-4,4281034024,1007 LINCOLN BLVD,4,2,2026-06-07
1007-lincoln-blvd-5,4281034024,1007 LINCOLN BLVD,5,2,2026-06-07
1007-lincoln-blvd-6,4281034024,1007 LINCOLN BLVD,6,4,2026-06-07
1007-lincoln-blvd-7,4281034024,1007 LINCOLN BLVD,7,1,2026-06-07
1007-lincoln-blvd-8,4281034024,1007 LINCOLN BLVD,8,1,2026-06-07
1007-lincoln-blvd-9,4281034024,1007 LINCOLN BLVD,9,3,2026-06-07
1007-michigan-ave,4283017023,1007 MICHIGAN AVE,,2,2026-06-07
1007-ocean-park-blvd-1,4284009009,1007 OCEAN PARK BLVD,1,2,2026-06-07
1007-ocean-park-blvd-2,4284009009,1007 OCEAN PARK BLVD,2,1,2026-06-07
1007-ocean-park-blvd-3,4284009009,1007 OCEAN PARK BLVD,3,1,2026-06-07
1007-ocean-park-blvd-4,4284009009,1007 OCEAN PARK BLVD,4,1,2026-06-07
1007-ocean-park-blvd-5,4284009009,1007 OCEAN PARK BLVD,5,1,2026-06-07
1007-ocean-park-blvd-6,4284009009,1007 OCEAN PARK BLVD,6,2,2026-06-07
1007-pacific-st-a,4284014019,1007 PACIFIC ST,A,2,2026-06-07
1007-pacific-st-b,4284014019,1007 PACIFIC ST,B,1,2026-06-07
1007-pacific-st-c,4284014019,1007 PACIFIC ST,C,1,2026-06-07
1007-pacific-st-d,4284014019,1007 PACIFIC ST,D,1,2026-06-07
1007-pacific-st-e,4284014019,1007 PACIFIC ST,E,1,2026-06-07
1008-14th-st-a,4281013002,1008 14TH ST,A,2,2026-06-07
1008-14th-st-b,4281013002,1008 14TH ST,B,2,2026-06-07
1008-14th-st-c,4281013002,1008 14TH ST,C,1,2026-06-07
1008-14th-st-d,4281013002,1008 14TH ST,D,1,2026-06-07
1008-17th-st-1,4281003044,1008 17TH ST,1,3,2026-06-07
1008-17th-st-2,4281003044,1008 17TH ST,2,2,2026-06-07
1008-17th-st-3,4281003044,1008 17TH ST,3,2,2026-06-07
1008-17th-st-4,4281003044,1008 17TH ST,4,3,2026-06-07
1008-17th-st-5,4281003044,1008 17TH ST,5,3,2026-06-07
1008-17th-st-6,4281003044,1008 17TH ST,6,3,2026-06-07
1008-20th-st-1,4277025020,1008 20TH ST,1,2,2026-06-07
1008-20th-st-2,4277025020,1008 20TH ST,2,1,2026-06-07
1008-20th-st-3,4277025020,1008 20TH ST,3,1,2026-06-07
1008-20th-st-4,4277025020,1008 20TH ST,4,3,2026-06-07
1008-20th-st-5,4277025020,1008 20TH ST,5,2,2026-06-07
1008-20th-st-6,4277025020,1008 20TH ST,6,1,2026-06-07
1008-20th-st-7,4277025020,1008 20TH ST,7,1,2026-06-07
1008-20th-st-8,4277025020,1008 20TH ST,8,3,2026-06-07
1008-2nd-st-101,4292027003,1008 2ND ST,101,2,2026-06-07
1008-2nd-st-102,4292027003,1008 2ND ST,102,1,2026-06-07
1008-2nd-st-103,4292027003,1008 2ND ST,103,1,2026-06-07
1008-2nd-st-104,4292027003,1008 2ND ST,104,1,2026-06-07
1008-2nd-st-105,4292027003,1008 2ND ST,105,1,2026-06-07
1008-2nd-st-201,4292027003,1008 2ND ST,201,2,2026-06-07
1008-2nd-st-202,4292027003,1008 2ND ST,202,2,2026-06-07
1008-2nd-st-203,4292027003,1008 2ND ST,203,1,2026-06-07
1008-2nd-st-204,4292027003,1008 2ND ST,204,1,2026-06-07
1008-2nd-st-205,4292027003,1008 2ND ST,205,1,2026-06-07
1008-2nd-st-301,4292027003,1008 2ND ST,301,2,2026-06-07
1008-2nd-st-302,4292027003,1008 2ND ST,302,1,2026-06-07
1008-2nd-st-303,4292027003,1008 2ND ST,303,2,2026-06-07
1008-2nd-st-304,4292027003,1008 2ND ST,304,2,2026-06-07
1008-5th-st-1,4292014002,1008 5TH ST,1,3,2026-06-07
1008-5th-st-2,4292014002,1008 5TH ST,2,3,2026-06-07
1008-5th-st-3,4292014002,1008 5TH ST,3,0,2026-06-07
1008-5th-st-4,4292014002,1008 5TH ST,4,0,2026-06-07
1008-5th-st-5,4292014002,1008 5TH ST,5,0,2026-06-07
1008-5th-st-6,4292014002,1008 5TH ST,6,2,2026-06-07
1008-6th-st-a,4292011049,1008 6TH ST,A,1,2026-06-07
1008-6th-st-b,4292011050,1008 6TH ST,B,1,2026-06-07
1008-6th-st-c,4292011051,1008 6TH ST,C,1,2026-06-07
1008-6th-st-d,4292011056,1008 6TH ST,D,1,2026-06-07
1008-6th-st-e,4292011057,1008 6TH ST,E,1,2026-06-07
1008-6th-st-f,4292011058,1008 6TH ST,F,1,2026-06-07
1008-6th-st-g,4292011059,1008 6TH ST,G,2,2026-06-07
1008-6th-st-h,4292011052,1008 6TH ST,H,0,2026-06-07
1008-7th-st-1,4292006002,1008 7TH ST,1,1,2026-06-07
1008-7th-st-10,4292006002,1008 7TH ST,10,1,2026-06-07
1008-7th-st-11,4292006002,1008 7TH ST,11,2,2026-06-07
1008-7th-st-2,4292006002,1008 7TH ST,2,2,2026-06-07
1008-7th-st-3,4292006002,1008 7TH ST,3,1,2026-06-07
1008-7th-st-4,4292006002,1008 7TH ST,4,1,2026-06-07
1008-7th-st-5,4292006002,1008 7TH ST,5,1,2026-06-07
1008-7th-st-6,4292006002,1008 7TH ST,6,2,2026-06-07
1008-7th-st-7,4292006002,1008 7TH ST,7,2,2026-06-07
1008-7th-st-8,4292006002,1008 7TH ST,8,1,2026-06-07
1008-7th-st-9,4292006002,1008 7TH ST,9,1,2026-06-07
1008-euclid-st,4281018002,1008 EUCLID ST,,2,2026-06-07
1008-euclid-st-a,4281018002,1008 EUCLID ST,A,0,2026-06-07
1008-euclid-st-b,4281018002,1008 EUCLID ST,B,1,2026-06-07
1008-euclid-st-c,4281018002,1008 EUCLID ST,C,1,2026-06-07
1008-hill-st,4285012030,1008 HILL ST,,2,2026-06-07
1008-michigan-ave,4283023017,1008 MICHIGAN AVE,,1,2026-06-07
1008-pearl-st,4284012013,1008 PEARL ST,,2,2026-06-07
1008-pearl-st-1-2,4284012013,1008 PEARL ST,1/2,1,2026-06-07
1009-10th-st-1,4281026015,1009 10TH ST,1,1,2026-06-07
1009-10th-st-2,4281026015,1009 10TH ST,2,2,2026-06-07
1009-10th-st-3,4281026015,1009 10TH ST,3,2,2026-06-07
1009-10th-st-4,4281026015,1009 10TH ST,4,1,2026-06-07
1009-10th-st-5,4281026015,1009 10TH ST,5,1,2026-06-07
1009-12th-st,4281018023,1009 12TH ST,,2,2026-06-07
1009-16th-st,4281003020,1009 16TH ST,,2,2026-06-07
1009-16th-st-1-2,4281003020,1009 16TH ST,1/2,1,2026-06-07
1009-17th-st-a,4277027002,1009 17TH ST,A,1,2026-06-07
1009-17th-st-b,4277027002,1009 17TH ST,B,1,2026-06-07
1009-17th-st-c,4277027002,1009 17TH ST,C,1,2026-06-07
1009-17th-st-d,4277027002,1009 17TH ST,D,1,2026-06-07
1009-17th-st-e,4277027002,1009 17TH ST,E,1,2026-06-07
1009-18th-st-a,4277026027,1009 18TH ST,A,0,2026-06-07
1009-18th-st-b,4277026027,1009 18TH ST,B,0,2026-06-07
1009-18th-st-c,4277026027,1009 18TH ST,C,0,2026-06-07
1009-18th-st-d,4277026027,1009 18TH ST,D,1,2026-06-07
1009-9th-st-1,4281029021,1009 9TH ST,1,1,2026-06-07
1009-9th-st-2,4281029021,1009 9TH ST,2,2,2026-06-07
1009-9th-st-3,4281029021,1009 9TH ST,3,1,2026-06-07
1009-9th-st-4,4281029021,1009 9TH ST,4,1,2026-06-07
1009-ashland-ave,4285012015,1009 ASHLAND AVE,,2,2026-06-07
1009-ashland-ave-a,4285012015,1009 ASHLAND AVE,A,1,2026-06-07
