unit_id,apn,address,unit_label,prev_observed_at,observed_at,old_mar_cents,new_mar_cents,delta_cents,delta_pct,old_tenancy,new_tenancy,reason,mar_status_change
1005-5th-st-a,4292011021,1005 5TH ST,A,2023-07-19,2026-06-07,227000,255800,28800,12.7,2013-07-21,2023-11-08,new_tenancy,
1005-5th-st-b,4292011021,1005 5TH ST,B,2023-07-19,2026-06-07,120700,148300,27600,22.9,2013-07-21,2023-11-08,new_tenancy,
1005-ashland-ave,4285012014,1005 ASHLAND AVE,,2023-07-19,2026-06-07,256500,285000,28500,11.1,2021-03-15,2025-09-17,new_tenancy,
1005-ashland-ave-a,4285012014,1005 ASHLAND AVE,A,2023-07-19,2026-06-07,239500,255000,15500,6.5,2022-05-29,2024-09-01,new_tenancy,
1005-ashland-ave-b,4285012014,1005 ASHLAND AVE,B,2023-07-19,2026-06-07,242500,249500,7000,2.9,2020-09-15,2025-05-19,new_tenancy,
1005-ashland-ave-c,4285012014,1005 ASHLAND AVE,C,2023-07-19,2026-06-07,229500,260900,31400,13.7,2021-10-01,2024-08-07,new_tenancy,
1005-hill-st-1,4285001007,1005 HILL ST,1,2023-07-19,2026-06-07,288500,308800,20300,7.0,2017-09-01,2017-09-01,mar_adjustment,
1005-hill-st-2,4285001007,1005 HILL ST,2,2023-07-19,2026-06-07,172800,187100,14300,8.3,2010-02-01,2010-02-01,mar_adjustment,
1005-hill-st-3,4285001007,1005 HILL ST,3,2023-07-19,2026-06-07,231800,251000,19200,8.3,2015-07-01,2015-07-01,mar_adjustment,
1005-hill-st-4,4285001007,1005 HILL ST,4,2023-07-19,2026-06-07,187300,234800,47500,25.4,2015-01-19,2024-01-01,new_tenancy,
1005-hill-st-5,4285001007,1005 HILL ST,5,2023-07-19,2026-06-07,259500,300000,40500,15.6,2021-06-01,2025-03-10,new_tenancy,
1005-hill-st-6,4285001007,1005 HILL ST,6,2023-07-19,2026-06-07,209200,226700,17500,8.4,2011-06-01,2011-06-01,mar_adjustment,
1005-hill-st-7,4285001007,1005 HILL ST,7,2023-07-19,2026-06-07,185900,201300,15400,8.3,2019-04-01,2019-04-01,mar_adjustment,
1005-michigan-ave,4283017023,1005 MICHIGAN AVE,,2023-07-19,2026-06-07,175100,209700,34600,19.8,2020-10-01,2023-09-15,new_tenancy,
1005-washington-ave,4281025013,1005 WASHINGTON AVE,,2023-07-19,2026-06-07,86500,93700,7200,8.3,,,mar_adjustment,
1006-21st-st,4277024021,1006 21ST ST,,2023-07-19,2026-06-07,350000,370300,20300,5.8,2009-06-25,2009-06-25,mar_adjustment,
1006-21st-st-a,4277024021,1006 21ST ST,A,2023-07-19,2026-06-07,130500,141400,10900,8.4,2003-05-15,2003-05-15,mar_adjustment,
1006-21st-st-b,4277024021,1006 21ST ST,B,2023-07-19,2026-06-07,310000,310000,0,0.0,2023-06-01,2025-02-22,new_tenancy,
1006-21st-st-c,4277024021,1006 21ST ST,C,2023-07-19,2026-06-07,310000,323600,13600,4.4,2023-03-26,2023-03-26,mar_adjustment,
1006-michigan-ave,4283023017,1006 MICHIGAN AVE,,2023-07-19,2026-06-07,100500,108800,8300,8.3,,,mar_adjustment,
1007-12th-st,4281018023,1007 12TH ST,,2023-07-19,2026-06-07,47800,51800,4000,8.4,,,mar_adjustment,
1007-16th-st,4281003020,1007 16TH ST,,2023-07-19,2026-06-07,55800,60500,4700,8.4,,,mar_adjustment,
1007-16th-st-1-2,4281003020,1007 16TH ST,1/2,2023-07-19,2026-06-07,249500,269800,20300,8.1,2016-01-25,2016-01-25,mar_adjustment,
1007-20th-st-1,4277024061,1007 20TH ST,1,2023-07-19,2026-06-07,346200,366500,20300,5.9,2014-03-14,2014-03-14,mar_adjustment,
1007-20th-st-10,4277024070,1007 20TH ST,10,2023-07-19,2026-06-07,215900,233900,18000,8.3,,,mar_adjustment,
1007-20th-st-2,4277024062,1007 20TH ST,2,2023-07-19,2026-06-07,201300,218000,16700,8.3,,,mar_adjustment,
1007-20th-st-3,4277024063,1007 20TH ST,3,2023-07-19,2026-06-07,183900,199200,15300,8.3,,,mar_adjustment,
1007-20th-st-4,4277024064,1007 20TH ST,4,2023-07-19,2026-06-07,316300,336600,20300,6.4,2005-07-02,2005-07-02,mar_adjustment,
1007-20th-st-5,4277024065,1007 20TH ST,5,2023-07-19,2026-06-07,430100,465500,35400,8.2,2020-01-07,2023-09-05,new_tenancy,
1007-20th-st-6,4277024066,1007 20TH ST,6,2023-07-19,2026-06-07,410100,430400,20300,5.0,2020-08-05,2020-08-05,mar_adjustment,
1007-20th-st-7,4277024067,1007 20TH ST,7,2023-07-19,2026-06-07,151500,164100,12600,8.3,,,mar_adjustment,
1007-20th-st-8,4277024068,1007 20TH ST,8,2023-07-19,2026-06-07,371200,391500,20300,5.5,2021-04-01,2021-04-01,mar_adjustment,
1007-20th-st-9,4277024069,1007 20TH ST,9,2023-07-19,2026-06-07,168600,182600,14000,8.3,,,mar_adjustment,
1007-9th-st-1,4281029021,1007 9TH ST,1,2023-07-19,2026-06-07,324500,347500,23000,7.1,2016-09-15,2025-11-21,new_tenancy,
1007-9th-st-2,4281029021,1007 9TH ST,2,2023-07-19,2026-06-07,221500,239900,18400,8.3,2021-07-01,2021-07-01,mar_adjustment,
1007-9th-st-3,4281029021,1007 9TH ST,3,2023-07-19,2026-06-07,170000,265500,95500,56.2,2021-04-01,2023-09-29,new_tenancy,
1007-lincoln-blvd-1,4281034024,1007 LINCOLN BLVD,1,2023-07-19,2026-06-07,175900,190500,14600,8.3,2009-10-27,2009-10-27,mar_adjustment,
1007-lincoln-blvd-10,4281034024,1007 LINCOLN BLVD,10,2023-07-19,2026-06-07,134500,145700,11200,8.3,,,mar_adjustment,
1007-lincoln-blvd-11,4281034024,1007 LINCOLN BLVD,11,2023-07-19,2026-06-07,153700,166400,12700,8.3,,,mar_adjustment,
1007-lincoln-blvd-2,4281034024,1007 LINCOLN BLVD,2,2023-07-19,2026-06-07,594100,315500,-278600,-46.9,2018-11-01,2024-08-11,new_tenancy,
1007-lincoln-blvd-3,4281034024,1007 LINCOLN BLVD,3,2023-07-19,2026-06-07,259100,271800,12700,4.9,2014-02-17,2024-02-17,new_tenancy,
1007-lincoln-blvd-4,4281034024,1007 LINCOLN BLVD,4,2023-07-19,2026-06-07,814100,834400,20300,2.5,2018-11-01,2018-11-01,mar_adjustment,
1007-lincoln-blvd-5,4281034024,1007 LINCOLN BLVD,5,2023-07-19,2026-06-07,814100,339500,-474600,-58.3,2018-11-01,2025-01-31,new_tenancy,
1007-lincoln-blvd-6,4281034024,1007 LINCOLN BLVD,6,2023-07-19,2026-06-07,814100,834400,20300,2.5,2018-11-01,2018-11-01,mar_adjustment,
1007-lincoln-blvd-7,4281034024,1007 LINCOLN BLVD,7,2023-07-19,2026-06-07,212100,229700,17600,8.3,2008-03-01,2008-03-01,mar_adjustment,
1007-lincoln-blvd-8,4281034024,1007 LINCOLN BLVD,8,2023-07-19,2026-06-07,814100,300000,-514100,-63.1,2018-11-01,2024-11-27,new_tenancy,
1007-lincoln-blvd-9,4281034024,1007 LINCOLN BLVD,9,2023-07-19,2026-06-07,125900,136400,10500,8.3,,,mar_adjustment,
1007-michigan-ave,4283017023,1007 MICHIGAN AVE,,2023-07-19,2026-06-07,124500,134800,10300,8.3,,,mar_adjustment,
1007-ocean-park-blvd-1,4284009009,1007 OCEAN PARK BLVD,1,2023-07-19,2026-06-07,406500,429900,23400,5.8,2020-11-30,2026-03-27,new_tenancy,
1007-ocean-park-blvd-2,4284009009,1007 OCEAN PARK BLVD,2,2023-07-19,2026-06-07,173500,188000,14500,8.4,2011-07-16,2011-07-16,mar_adjustment,
1007-ocean-park-blvd-3,4284009009,1007 OCEAN PARK BLVD,3,2023-07-19,2026-06-07,325000,310000,-15000,-4.6,2023-02-13,2026-03-13,new_tenancy,
1007-ocean-park-blvd-4,4284009009,1007 OCEAN PARK BLVD,4,2023-07-19,2026-06-07,169000,183000,14000,8.3,2012-09-01,2012-09-01,mar_adjustment,
1007-ocean-park-blvd-5,4284009009,1007 OCEAN PARK BLVD,5,2023-07-19,2026-06-07,177800,192600,14800,8.3,2008-04-25,2008-04-25,mar_adjustment,
1007-ocean-park-blvd-6,4284009009,1007 OCEAN PARK BLVD,6,2023-07-19,2026-06-07,220400,238800,18400,8.3,2010-07-06,2010-07-06,mar_adjustment,
1007-pacific-st-a,4284014019,1007 PACIFIC ST,A,2023-07-19,2026-06-07,316700,337000,20300,6.4,2013-11-15,2013-11-15,mar_adjustment,
1007-pacific-st-b,4284014019,1007 PACIFIC ST,B,2023-07-19,2026-06-07,200900,298600,97700,48.6,2020-09-07,2023-07-01,new_tenancy,
1007-pacific-st-c,4284014019,1007 PACIFIC ST,C,2023-07-19,2026-06-07,226600,293600,67000,29.6,2021-07-01,2022-11-01,new_tenancy,
1007-pacific-st-d,4284014019,1007 PACIFIC ST,D,2023-07-19,2026-06-07,180600,301000,120400,66.7,2013-08-01,2024-06-01,new_tenancy,
1007-pacific-st-e,4284014019,1007 PACIFIC ST,E,2023-07-19,2026-06-07,221800,240200,18400,8.3,2015-12-18,2015-12-18,mar_adjustment,
1008-14th-st-a,4281013002,1008 14TH ST,A,2023-07-19,2026-06-07,344100,364400,20300,5.9,2019-04-01,2019-04-01,mar_adjustment,
1008-14th-st-b,4281013002,1008 14TH ST,B,2023-07-19,2026-06-07,296700,317000,20300,6.8,2014-02-08,2014-02-08,mar_adjustment,
1008-14th-st-c,4281013002,1008 14TH ST,C,2023-07-19,2026-06-07,227000,250000,23000,10.1,2018-04-17,2025-03-01,new_tenancy,
1008-14th-st-d,4281013002,1008 14TH ST,D,2023-07-19,2026-06-07,192900,293100,100200,51.9,2004-06-01,2023-08-01,new_tenancy,
1008-17th-st-1,4281003044,1008 17TH ST,1,2023-07-19,2026-06-07,618500,638800,20300,3.3,2018-06-01,2018-06-01,mar_adjustment,
1008-17th-st-2,4281003044,1008 17TH ST,2,2023-07-19,2026-06-07,368500,441000,72500,19.7,2018-03-14,2024-02-25,new_tenancy,
