unit_id,apn,address,unit_label,bedrooms,status,mar_2023_cents,mar_2026_cents,mar_delta_cents,mar_pct,tenancy_2023,tenancy_2026,tenancy_changed
1017-ocean-park-blvd-5,4284009007,1017 OCEAN PARK BLVD,5,2,present_both,264100,410500,146400,55.4,2019-07-25,2024-03-27,1
1017-ocean-park-blvd-6,4284009007,1017 OCEAN PARK BLVD,6,2,present_both,225300,244000,18700,8.3,2008-10-15,2008-10-15,
1017-ocean-park-blvd-7,4284009007,1017 OCEAN PARK BLVD,7,3,present_both,450000,447000,-3000,-0.7,2022-05-30,2023-06-02,1
1017-ocean-park-blvd-8,4284009007,1017 OCEAN PARK BLVD,8,1,new_since_2023,,244500,,,,2024-02-01,
1017-pearl-st-a,4284013026,1017 PEARL ST,A,2,present_both,188600,204300,15700,8.3,,,
1017-pearl-st-b,4284013027,1017 PEARL ST,B,2,present_both,200400,217100,16700,8.3,,,
1017-pearl-st-c,4284013028,1017 PEARL ST,C,2,present_both,177700,192500,14800,8.3,,,
1017-pearl-st-d,4284013029,1017 PEARL ST,D,2,present_both,233000,252400,19400,8.3,,,
1017-pearl-st-e,4284013030,1017 PEARL ST,E,3,present_both,248000,268300,20300,8.2,,,
1018-10th-st,4281029004,1018 10TH ST,,2,present_both,457000,477300,20300,4.4,2020-12-16,2020-12-16,
1018-17th-st,4281003004,1018 17TH ST,,2,present_both,410900,431200,20300,4.9,2019-11-15,2019-11-15,
1018-20th-st-a,4277025022,1018 20TH ST,A,1,present_both,225000,241800,16800,7.5,2022-04-01,2023-06-07,1
1018-20th-st-b,4277025022,1018 20TH ST,B,1,present_both,236400,256100,19700,8.3,2020-09-21,2020-09-21,
1018-20th-st-c,4277025022,1018 20TH ST,C,1,present_both,231800,260000,28200,12.2,2020-12-15,2026-01-22,1
1018-20th-st-d,4277025022,1018 20TH ST,D,1,present_both,179400,194300,14900,8.3,2009-07-01,2009-07-01,
1018-20th-st-e,4277025022,1018 20TH ST,E,1,present_both,182200,197300,15100,8.3,2014-07-05,2014-07-05,
1018-20th-st-f,4277025022,1018 20TH ST,F,1,present_both,204100,221100,17000,8.3,2015-11-07,2015-11-07,
1018-20th-st-g,4277025022,1018 20TH ST,G,1,present_both,180300,230000,49700,27.6,2021-03-13,2025-11-29,1
1018-20th-st-h,4277025022,1018 20TH ST,H,1,present_both,217400,235500,18100,8.3,2016-09-24,2016-09-24,
1018-20th-st-i,4277025022,1018 20TH ST,I,0,present_both,188100,205000,16900,9.0,2020-06-27,2025-12-15,1
1018-20th-st-j,4277025022,1018 20TH ST,J,1,present_both,215000,229700,14700,6.8,2022-03-12,2023-12-10,1
1018-20th-st-k,4277025022,1018 20TH ST,K,1,present_both,179500,194400,14900,8.3,2022-04-25,2022-04-25,
1018-20th-st-l,4277025022,1018 20TH ST,L,0,present_both,188100,200000,11900,6.3,2020-08-01,2025-05-01,1
