unit_id,apn,bedrooms,mar_status,parcel_unit_count,size_class,use_class,rcb_comparable
101-marguerita-ave-c,4293007018,2,controlled,20,multifamily,five_plus,1
101-marguerita-ave-d,4293007018,2,controlled,20,multifamily,five_plus,1
101-palisades-ave,4293015001,2,controlled,31,multifamily,five_plus,1
101-strand-st-a,4289022006,2,controlled,7,multifamily,five_plus,1
101-strand-st-b,4289022006,1,controlled,7,multifamily,five_plus,1
101-strand-st-c,4289022006,2,controlled,7,multifamily,five_plus,1
101-strand-st-d,4289022006,1,controlled,7,multifamily,five_plus,1
1010-10th-st-1,4281029002,2,controlled,6,multifamily,five_plus,1
1010-10th-st-2,4281029002,1,controlled,6,multifamily,five_plus,1
1010-10th-st-3,4281029002,1,controlled,6,multifamily,five_plus,1
1010-10th-st-4,4281029002,1,controlled,6,multifamily,five_plus,1
1010-10th-st-5,4281029002,1,controlled,6,multifamily,five_plus,1
1010-10th-st-6,4281029002,1,controlled,6,multifamily,five_plus,1
1010-14th-st,4281013002,1,controlled,5,multifamily,four,1
1010-19th-st-10,4277026053,1,controlled,1,single,single,0
1010-19th-st-11,4277026054,2,controlled,1,single,single,0
1010-19th-st-2,4277026041,2,controlled,1,single,single,0
1010-19th-st-3,4277026042,2,controlled,1,single,single,0
1010-19th-st-4,4277026043,2,controlled,1,single,single,0
1010-19th-st-6,4277026045,2,controlled,1,single,single,0
1010-19th-st-8,4277026047,2,controlled,1,single,single,0
1010-19th-st-9,4277026052,2,controlled,1,single,single,0
1010-21st-st-1,4277024022,2,controlled,5,multifamily,five_plus,1
1010-21st-st-2,4277024022,2,controlled,5,multifamily,five_plus,1
1010-21st-st-3,4277024022,2,controlled,5,multifamily,five_plus,1
1010-21st-st-4,4277024022,2,controlled,5,multifamily,five_plus,1
1010-21st-st-5,4277024022,2,controlled,5,multifamily,five_plus,1
1010-4th-st-2,4292019031,2,controlled,1,single,single,0
1010-4th-st-3,4292019032,2,controlled,1,single,single,0
1010-4th-st-4,4292019033,3+,controlled,1,single,single,0
1010-4th-st-5,4292019034,3+,controlled,1,single,single,0
1010-broadway,4282030024,1,controlled,1,single,single,0
1010-hill-st-a,4285012030,1,controlled,4,multifamily,four,1
1010-hill-st-b,4285012030,1,controlled,4,multifamily,four,1
1010-hill-st-c,4285012030,1,controlled,4,multifamily,four,1
1010-pacific-st-a,4284013002,0,zero_mar,2,small,two_three,0
1010-pacific-st-b,4284013002,2,controlled,2,small,two_three,0
1010-pico-blvd-1,4284016002,0,controlled,12,multifamily,five_plus,1
1010-pico-blvd-10,4284016002,1,controlled,12,multifamily,five_plus,1
1010-pico-blvd-11,4284016002,1,controlled,12,multifamily,five_plus,1
1010-pico-blvd-12,4284016002,0,controlled,12,multifamily,five_plus,1
1010-pico-blvd-2,4284016002,1,controlled,12,multifamily,five_plus,1
1010-pico-blvd-3,4284016002,0,controlled,12,multifamily,five_plus,1
1010-pico-blvd-4,4284016002,1,controlled,12,multifamily,five_plus,1
1010-pico-blvd-5,4284016002,1,controlled,12,multifamily,five_plus,1
1010-pico-blvd-6,4284016002,0,controlled,12,multifamily,five_plus,1
1010-pico-blvd-7,4284016002,0,controlled,12,multifamily,five_plus,1
1010-pico-blvd-8,4284016002,1,controlled,12,multifamily,five_plus,1
1010-pico-blvd-9,4284016002,0,controlled,12,multifamily,five_plus,1
